Gray codes for n = 10 bit
i	 	p		B
356	-	3	-	0 1 1 1 0 1 0 1 1 0 
357	-	1	-	0 1 1 1 0 1 0 1 1 1 
358	-	2	-	0 1 1 1 0 1 0 1 0 1 
359	-	1	-	0 1 1 1 0 1 0 1 0 0 
360	-	4	-	0 1 1 1 0 1 1 1 0 0 
361	-	1	-	0 1 1 1 0 1 1 1 0 1 
362	-	2	-	0 1 1 1 0 1 1 1 1 1 
363	-	1	-	0 1 1 1 0 1 1 1 1 0 
364	-	3	-	0 1 1 1 0 1 1 0 1 0 
365	-	1	-	0 1 1 1 0 1 1 0 1 1 
366	-	2	-	0 1 1 1 0 1 1 0 0 1 
367	-	1	-	0 1 1 1 0 1 1 0 0 0 
368	-	5	-	0 1 1 1 0 0 1 0 0 0 
369	-	1	-	0 1 1 1 0 0 1 0 0 1 
370	-	2	-	0 1 1 1 0 0 1 0 1 1 
371	-	1	-	0 1 1 1 0 0 1 0 1 0 
372	-	3	-	0 1 1 1 0 0 1 1 1 0 
373	-	1	-	0 1 1 1 0 0 1 1 1 1 
374	-	2	-	0 1 1 1 0 0 1 1 0 1 
375	-	1	-	0 1 1 1 0 0 1 1 0 0 
376	-	4	-	0 1 1 1 0 0 0 1 0 0 
377	-	1	-	0 1 1 1 0 0 0 1 0 1 
378	-	2	-	0 1 1 1 0 0 0 1 1 1 
379	-	1	-	0 1 1 1 0 0 0 1 1 0 
380	-	3	-	0 1 1 1 0 0 0 0 1 0 
381	-	1	-	0 1 1 1 0 0 0 0 1 1 
382	-	2	-	0 1 1 1 0 0 0 0 0 1 
383	-	1	-	0 1 1 1 0 0 0 0 0 0 
384	-	8	-	0 1 0 1 0 0 0 0 0 0 
385	-	1	-	0 1 0 1 0 0 0 0 0 1 
386	-	2	-	0 1 0 1 0 0 0 0 1 1 
387	-	1	-	0 1 0 1 0 0 0 0 1 0 
388	-	3	-	0 1 0 1 0 0 0 1 1 0 
389	-	1	-	0 1 0 1 0 0 0 1 1 1 
390	-	2	-	0 1 0 1 0 0 0 1 0 1 
391	-	1	-	0 1 0 1 0 0 0 1 0 0 
392	-	4	-	0 1 0 1 0 0 1 1 0 0 
393	-	1	-	0 1 0 1 0 0 1 1 0 1 
394	-	2	-	0 1 0 1 0 0 1 1 1 1 
395	-	1	-	0 1 0 1 0 0 1 1 1 0 
396	-	3	-	0 1 0 1 0 0 1 0 1 0 
397	-	1	-	0 1 0 1 0 0 1 0 1 1 
398	-	2	-	0 1 0 1 0 0 1 0 0 1 
399	-	1	-	0 1 0 1 0 0 1 0 0 0 
400	-	5	-	0 1 0 1 0 1 1 0 0 0 
401	-	1	-	0 1 0 1 0 1 1 0 0 1 
402	-	2	-	0 1 0 1 0 1 1 0 1 1 
403	-	1	-	0 1 0 1 0 1 1 0 1 0 
404	-	3	-	0 1 0 1 0 1 1 1 1 0 
405	-	1	-	0 1 0 1 0 1 1 1 1 1 
406	-	2	-	0 1 0 1 0 1 1 1 0 1 
407	-	1	-	0 1 0 1 0 1 1 1 0 0 
